Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,1,150,1,9,0,0.0,0.0004107385399511039,1,Train,0.0004107385399511039,0.00032838804301728503,,,,,0.0,,0,1,0
2026-07-22,1,168,0,4,0,0.0,2.7116156585254036e-05,1,Train,2.7116156585254036e-05,2.1875566809473034e-05,,,,,0.0,,0,1,0
2026-07-22,1,2,0,25,0,0.0,0.0012706760633503455,1,Train,0.0012706760633503455,0.0010587506713418435,,,,,0.0,,0,1,0
2026-07-22,1,2,1,46,0,0.0,0.004358310421058771,2,Train,0.004358310421058771,0.0036891512730301314,,,,,0.0,,0,1,0
2026-07-22,1,21,0,34,0,0.0,0.001880222221639236,1,Train,0.001880222221639236,0.0015921280983540009,,,,,0.0,,0,1,0
2026-07-22,1,21,1,6,0,0.0,9.082865906348916e-05,1,Train,9.082865906348916e-05,7.284030389947473e-05,,,,,0.0,,0,1,0
2026-07-22,1,255,0,17,0,0.0,0.0007625077667575069,1,Train,0.0007625077667575069,0.0006258996162780442,,,,,0.0,,0,1,0
2026-07-22,1,3,0,3,0,0.0,4.5741571876180134e-05,1,Train,4.5741571876180134e-05,3.6994173215629555e-05,,,,,0.0,,0,1,0
2026-07-22,1,3,1,2,0,0.0,2.8563525658099928e-05,1,Train,2.8563525658099928e-05,2.28195812566581e-05,,,,,0.0,,0,1,0
2026-07-22,1,32,0,42,0,0.0,0.0050300635877957535,2,Train,0.0050300635877957535,0.00432682879648202,,,,,0.0,,0,1,0
2026-07-22,1,32,1,43,0,0.0,0.005732225103097519,2,Train,0.005732225103097519,0.004919182123219901,,,,,0.0,,0,1,0
2026-07-22,1,36,0,36,0,0.0,0.004081382853769414,2,Train,0.004081382853769414,0.0034142600014507606,,,,,0.0,,0,1,0
2026-07-22,1,36,1,35,0,0.0,0.004218757432430984,2,Train,0.004218757432430984,0.0035151984103523473,,,,,0.0,,0,1,0
2026-07-22,1,372,0,41,0,0.0,0.005241681122229201,2,Train,0.005241681122229201,0.0044222727325158835,,,,,0.0,,0,1,0
2026-07-22,1,4,0,50,0,0.0,0.009201842930786673,3,Train,0.009201842930786673,0.007845161591424168,,,,,0.0,,0,1,0
